airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-05-24,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8576
Indigo,2019-06-03,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6493
Air India,2019-05-15,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Multiple Carriers,2019-05-21,Delhi,Cochin,13:05:00,00:55:00,710,1.0,No Info,9486
Spicejet,2019-03-21,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,1759
Indigo,2019-06-18,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Indigo,2019-03-18,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No Info,4462
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,9663
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Indigo,2019-03-21,Delhi,Cochin,09:10:00,01:35:00,985,1.0,No Info,8765
Air India,2019-04-09,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,9968
Indigo,2019-06-21,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3419
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,11200
Indigo,2019-03-24,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,7303
Air India,2019-06-09,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Air Asia,2019-05-24,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Vistara,2019-04-15,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Indigo,2019-03-21,Delhi,Cochin,07:35:00,21:20:00,825,2.0,No Info,6494
Indigo,2019-05-03,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Indigo,2019-03-06,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No Info,14871
Vistara,2019-06-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Multiple Carriers,2019-05-18,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,7887
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,12373
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,In-flight meal not included,8586
Air India,2019-06-01,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,15481
Air Asia,2019-03-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4384
Jet Airways,2019-04-01,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,5406
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,12898
Air India,2019-05-18,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Spicejet,2019-05-01,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Multiple Carriers,2019-06-12,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,15:45:00,470,1.0,No Info,6152
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2470
Air Asia,2019-06-24,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No Info,6152
Indigo,2019-06-01,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Air India,2019-06-27,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,11942
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,19:45:00,825,1.0,No Info,13941
Spicejet,2019-05-24,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,No Info,16079
Indigo,2019-03-03,Delhi,Cochin,09:10:00,01:35:00,985,1.0,No Info,14871
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,07:40:00,665,1.0,No Info,16736
Spicejet,2019-05-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Jet Airways,2019-04-18,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,5198
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Jet Airways,2019-04-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-04-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,11142
Air India,2019-03-12,Banglore,New Delhi,17:25:00,23:25:00,1800,2.0,No Info,12725
Air Asia,2019-05-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Multiple Carriers,2019-06-24,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,10678
Vistara,2019-03-09,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,9918
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14323
Spicejet,2019-03-06,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,9748
Indigo,2019-03-24,Kolkata,Banglore,17:15:00,20:00:00,165,0.0,No Info,6565
Multiple Carriers,2019-06-09,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Jet Airways,2019-06-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Spicejet,2019-04-27,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Spicejet,2019-06-21,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Indigo,2019-06-12,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6147
Indigo,2019-03-06,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No Info,7725
Jet Airways,2019-05-21,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Air Asia,2019-05-01,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Indigo,2019-05-15,Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6412
Spicejet,2019-03-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,7298
Air India,2019-03-03,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,13885
Jet Airways,2019-04-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Spicejet,2019-05-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,14714
Air India,2019-05-06,Kolkata,Banglore,05:50:00,12:00:00,1810,2.0,No Info,11883
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,8586
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Air India,2019-06-06,Kolkata,Banglore,17:30:00,20:25:00,1615,1.0,No Info,10413
Air India,2019-06-18,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,No Info,14781
Jet Airways,2019-06-09,Delhi,Cochin,21:35:00,12:35:00,900,2.0,No Info,13882
Jet Airways,2019-05-21,Delhi,Cochin,09:50:00,13:05:00,195,0.0,In-flight meal not included,7202
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,4273
Jet Airways,2019-04-01,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,5406
Indigo,2019-05-06,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,18:25:00,1410,1.0,In-flight meal not included,11087
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,5170
Multiple Carriers,2019-06-24,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13797
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Jet Airways,2019-05-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,7229
Indigo,2019-06-15,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Multiple Carriers,2019-06-01,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No Info,7933
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Indigo,2019-06-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,5224
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,10:05:00,1540,1.0,In-flight meal not included,8529
Jet Airways,2019-04-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Jet Airways,2019-06-03,Delhi,Cochin,22:50:00,04:25:00,335,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1.0,No Info,12327
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12219
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,04:25:00,745,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5769
Air India,2019-03-15,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No Info,8714
Goair,2019-04-12,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4937
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,14151
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13727
Indigo,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,7191
Vistara,2019-03-01,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,12648
Air India,2019-05-18,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No Info,12723
Indigo,2019-03-03,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6860
Goair,2019-04-01,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5281
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,7594
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,21:20:00,485,2.0,No Info,11560
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Indigo,2019-04-09,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Air India,2019-03-01,Banglore,New Delhi,17:00:00,12:15:00,1155,1.0,No Info,10246
Indigo,2019-06-01,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,3175
Goair,2019-06-06,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Jet Airways,2019-03-06,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,13843
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Jet Airways,2019-04-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Air India,2019-03-21,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,8140
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,10703
Air Asia,2019-05-15,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6853
Indigo,2019-06-09,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6195
Indigo,2019-05-27,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,7164
Indigo,2019-05-18,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,7503
Indigo,2019-05-06,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Air India,2019-05-09,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,9347
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,10:45:00,710,1.0,In-flight meal not included,11087
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7787
